                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.626,                 1.8162,                 1.5868,                0.35605,                 0.5042,                0.27884,                0.09592,                  2.214,                 3.1239,                 2.5953,             0.00066377,             0.00066377,             0.00066377
                      2,                 1.6586,                 1.4888,                 1.5928,                0.65876,                0.65966,                0.68085,                0.32166,                 1.8198,                 1.5808,                  1.761,              0.0013041,              0.0013041,              0.0013041
                      3,                 1.6682,                 1.4863,                 1.6032,                 0.7883,                 0.7563,                0.82192,                0.42359,                 1.5282,                 1.3906,                 1.5092,               0.001918,               0.001918,               0.001918
                      4,                 1.5974,                 1.3793,                 1.5531,                0.66696,                0.71849,                0.77066,                0.40427,                 1.5119,                 1.2239,                 1.5524,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.548,                 1.2963,                 1.5086,                0.81382,                0.82773,                0.88864,                0.52504,                 1.3169,                 1.0863,                 1.3977,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.485,                 1.2352,                 1.4866,                0.84365,                0.78992,                0.85739,                0.48761,                 1.3677,                 1.0122,                 1.3942,               0.001802,               0.001802,               0.001802
                      7,                 1.4477,                 1.1709,                 1.4483,                0.87422,                0.85294,                0.90678,                0.53423,                 1.2787,                0.96579,                 1.3569,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4084,                 1.0913,                 1.4132,                0.85888,                0.84387,                0.90748,                0.53387,                 1.2928,                 1.0359,                 1.3444,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3783,                 1.0757,                 1.4064,                0.87978,                0.81933,                 0.9009,                 0.5421,                 1.2559,                0.88833,                 1.3596,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3475,                  1.033,                 1.3807,                0.86317,                0.86975,                0.92807,                0.57258,                 1.3133,                  0.889,                 1.3548,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3437,                0.98908,                  1.361,                0.88161,                0.89916,                0.93702,                0.57206,                 1.2923,                0.82045,                 1.3625,               0.001604,               0.001604,               0.001604
                     12,                 1.3075,                0.95414,                 1.3495,                0.90664,                0.80252,                0.90661,                0.57276,                 1.1914,                0.78143,                 1.3106,              0.0015644,              0.0015644,              0.0015644
