                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3472,                 2.1236,                  1.246,                0.15841,                 0.3516,                0.12274,                  0.049,                 1.8275,                 3.6436,                 2.2093,             0.00066066,             0.00066066,             0.00066066
                      2,                 1.3509,                 1.3466,                 1.2658,                0.37349,                0.32666,                0.19111,                0.09694,                 2.0692,                   2.59,                 1.8509,              0.0013054,              0.0013054,              0.0013054
                      3,                 1.3945,                  1.122,                 1.2991,                 0.5467,                0.36348,                0.32256,                0.15979,                 2.2117,                 2.4765,                 2.1281,              0.0019282,              0.0019282,              0.0019282
                      4,                  1.376,                0.99749,                 1.2654,                0.45341,                 0.3516,                0.31268,                0.16724,                  1.771,                 2.2075,                 1.7807,               0.001901,               0.001901,               0.001901
                      5,                 1.3439,                0.89029,                 1.2537,                0.56648,                0.34703,                0.41494,                0.21933,                 1.8622,                 2.0527,                 1.8053,               0.001901,               0.001901,               0.001901
                      6,                 1.3367,                0.87175,                  1.259,                0.68404,                0.43379,                0.52718,                0.27159,                 1.6591,                 1.7187,                 1.6055,               0.001868,               0.001868,               0.001868
                      7,                 1.3389,                0.81645,                 1.2515,                0.69069,                0.42922,                0.51901,                0.27773,                 1.6592,                 1.6278,                 1.6208,               0.001835,               0.001835,               0.001835
                      8,                 1.2932,                0.81538,                 1.2398,                0.62904,                0.46459,                0.51537,                0.25953,                 1.6865,                 1.8009,                 1.6177,               0.001802,               0.001802,               0.001802
                      9,                 1.2858,                0.75977,                 1.2088,                0.75534,                0.45662,                0.55678,                0.28085,                 1.7372,                 1.6764,                 1.6286,               0.001769,               0.001769,               0.001769
                     10,                 1.2594,                0.74331,                 1.2135,                0.81644,                0.44749,                0.51839,                0.26711,                 1.8088,                  1.803,                 1.7266,               0.001736,               0.001736,               0.001736
                     11,                 1.2666,                0.73968,                 1.2124,                0.73652,                0.43399,                0.51002,                0.26721,                 1.7729,                 1.8264,                 1.6921,               0.001703,               0.001703,               0.001703
                     12,                  1.238,                0.73122,                 1.2021,                0.71104,                0.46575,                0.56504,                0.29548,                  1.692,                 1.5281,                 1.6022,                0.00167,                0.00167,                0.00167
                     13,                 1.2424,                0.69902,                  1.188,                0.58652,                0.44749,                0.51749,                  0.277,                 1.6607,                 1.6383,                 1.6749,               0.001637,               0.001637,               0.001637
                     14,                 1.2429,                0.69951,                 1.1994,                0.54429,                0.56164,                 0.5472,                0.27201,                  1.637,                 1.5799,                 1.5291,               0.001604,               0.001604,               0.001604
                     15,                 1.2472,                 0.6773,                  1.188,                0.64012,                0.53881,                0.59157,                0.30887,                 1.6389,                 1.4627,                 1.5568,               0.001571,               0.001571,               0.001571
                     16,                 1.2198,                0.67936,                   1.19,                0.71526,                0.55708,                0.64273,                0.32474,                  1.581,                 1.4324,                 1.5191,               0.001538,               0.001538,               0.001538
                     17,                  1.222,                0.66708,                 1.1918,                0.61439,                0.52968,                0.56876,                0.28847,                 1.7726,                 1.3977,                 1.6504,               0.001505,               0.001505,               0.001505
                     18,                 1.2372,                 0.6255,                  1.172,                0.46913,                0.57078,                0.51187,                0.24863,                 1.8177,                 1.5239,                  1.628,               0.001472,               0.001472,               0.001472
                     19,                  1.195,                0.63195,                 1.1601,                0.76439,                  0.621,                0.68427,                0.36255,                 1.5836,                 1.2599,                 1.5087,               0.001439,               0.001439,               0.001439
                     20,                 1.1816,                0.62361,                 1.1514,                0.72034,                0.61644,                0.66962,                 0.3608,                 1.5826,                 1.2208,                 1.5291,               0.001406,               0.001406,               0.001406
                     21,                 1.1885,                 0.6168,                 1.1524,                0.68267,                 0.6484,                0.68628,                0.36907,                 1.4993,                 1.3632,                 1.4349,               0.001373,               0.001373,               0.001373
                     22,                 1.2028,                0.62204,                 1.1654,                0.59591,                0.61187,                0.57225,                0.29611,                 1.5537,                 1.5966,                 1.5057,                0.00134,                0.00134,                0.00134
                     23,                 1.2056,                0.61537,                 1.1723,                0.67733,                0.64219,                0.65572,                0.35921,                 1.5227,                 1.2572,                 1.4584,               0.001307,               0.001307,               0.001307
                     24,                 1.1937,                0.60815,                 1.1592,                0.57734,                0.67123,                0.56453,                0.27739,                 1.5705,                 1.4502,                 1.5127,               0.001274,               0.001274,               0.001274
                     25,                 1.1587,                 0.5872,                 1.1344,                0.57284,                0.72257,                0.69132,                0.35971,                 1.5256,                 1.3804,                 1.4618,               0.001241,               0.001241,               0.001241
                     26,                 1.1952,                0.61069,                 1.1567,                0.65441,                0.61187,                0.62493,                0.33619,                 1.5397,                 1.4427,                 1.4737,               0.001208,               0.001208,               0.001208
                     27,                 1.1844,                0.58682,                 1.1438,                0.76018,                0.65297,                0.73087,                0.38631,                 1.5073,                 1.1562,                 1.4368,               0.001175,               0.001175,               0.001175
                     28,                 1.1545,                0.56742,                 1.1518,                0.71433,                 0.7032,                0.70743,                 0.3732,                 1.4831,                 1.1585,                 1.4331,               0.001142,               0.001142,               0.001142
                     29,                 1.1688,                0.57488,                 1.1464,                0.80176,                  0.621,                 0.7234,                0.39617,                 1.4598,                 1.0698,                 1.4341,               0.001109,               0.001109,               0.001109
                     30,                 1.1571,                0.57204,                 1.1261,                0.78426,                  0.621,                 0.6927,                0.36435,                   1.61,                 1.1657,                 1.5083,               0.001076,               0.001076,               0.001076
                     31,                 1.1559,                0.57586,                 1.1437,                0.70216,                0.67821,                0.66379,                0.35091,                 1.5603,                 1.2396,                 1.4963,               0.001043,               0.001043,               0.001043
                     32,                 1.1331,                0.55959,                 1.1369,                0.74019,                0.64384,                 0.7006,                0.35227,                  1.575,                 1.3606,                   1.51,                0.00101,                0.00101,                0.00101
                     33,                 1.1436,                0.55855,                 1.1362,                0.71897,                0.66588,                0.69696,                 0.3748,                 1.5634,                 1.1325,                 1.4751,               0.000977,               0.000977,               0.000977
                     34,                  1.137,                0.54712,                 1.1304,                0.79508,                0.73516,                 0.7686,                0.41028,                 1.4864,                 1.0253,                 1.4182,               0.000944,               0.000944,               0.000944
