                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4289,                 2.3539,                 1.4559,                0.29424,                 0.5148,                0.27765,                0.15375,                 1.6543,                 4.5854,                 1.8379,             0.00054274,             0.00054274,             0.00054274
                      2,                 1.4672,                 1.7535,                 1.4131,                0.18877,                0.27695,                0.14084,                0.06254,                 1.8818,                 12.729,                 2.1054,              0.0010875,              0.0010875,              0.0010875
                      3,                 1.5338,                 1.8063,                 1.4543,                0.20336,                0.37336,                0.16731,                 0.0765,                 2.0424,                 3.6811,                 2.0926,              0.0016213,              0.0016213,              0.0016213
                      4,                 1.5056,                 1.6683,                 1.4456,                0.29362,                0.38898,                0.22795,                0.11375,                 1.8319,                 5.0097,                 1.9504,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4772,                 1.6191,                  1.417,                0.37789,                0.40317,                0.29981,                0.15638,                  1.866,                 3.4898,                 1.9241,               0.001601,               0.001601,               0.001601
                      6,                 1.4702,                 1.5563,                 1.4305,                0.39794,                 0.3816,                0.31601,                0.16869,                 1.7006,                 2.8283,                 1.7537,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4152,                 1.5004,                 1.3996,                0.45456,                0.47965,                0.41467,                 0.2245,                 1.7938,                 2.3304,                 1.8042,               0.001568,               0.001568,               0.001568
                      8,                 1.4467,                 1.4968,                 1.3891,                0.43062,                 0.4484,                0.37874,                0.20883,                 1.7017,                 2.2716,                 1.6859,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4234,                 1.4485,                 1.3713,                 0.6791,                0.53248,                0.56962,                0.32549,                 1.5792,                 1.6882,                 1.6319,               0.001535,               0.001535,               0.001535
                     10,                 1.3683,                 1.3646,                 1.3378,                0.58431,                0.54194,                0.54123,                0.30811,                 1.4846,                 1.7671,                  1.559,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3236,                 1.3504,                 1.3292,                 0.5821,                 0.4963,                0.52503,                0.29775,                 1.4749,                 1.7571,                 1.5187,               0.001502,               0.001502,               0.001502
